system,test_index,clip_uid,release_session_id,benchmark_label,fault_mode,score
near_only,300,asd3dp_s0020_clip0000026,asd3dp_s0020,anomaly,belt_tension_abnormal,3.4138076305389404
near_only,301,asd3dp_s0020_clip0000040,asd3dp_s0020,anomaly,belt_tension_abnormal,2.9208617210388184
near_only,302,asd3dp_s0020_clip0000068,asd3dp_s0020,anomaly,belt_tension_abnormal,2.9099385738372803
near_only,303,asd3dp_s0020_clip0000082,asd3dp_s0020,anomaly,belt_tension_abnormal,2.891047239303589
near_only,304,asd3dp_s0020_clip0000095,asd3dp_s0020,anomaly,belt_tension_abnormal,2.4864070415496826
near_only,305,asd3dp_s0020_clip0000127,asd3dp_s0020,anomaly,belt_tension_abnormal,2.642918109893799
near_only,306,asd3dp_s0020_clip0000142,asd3dp_s0020,anomaly,belt_tension_abnormal,2.3121304512023926
near_only,307,asd3dp_s0020_clip0000158,asd3dp_s0020,anomaly,belt_tension_abnormal,2.3938844203948975
near_only,308,asd3dp_s0020_clip0000175,asd3dp_s0020,anomaly,belt_tension_abnormal,2.9810855388641357
near_only,309,asd3dp_s0021_clip0000030,asd3dp_s0021,anomaly,belt_tension_abnormal,2.426438570022583
near_only,310,asd3dp_s0021_clip0000048,asd3dp_s0021,anomaly,belt_tension_abnormal,2.8276824951171875
near_only,311,asd3dp_s0021_clip0000053,asd3dp_s0021,anomaly,belt_tension_abnormal,2.6563303470611572
near_only,312,asd3dp_s0021_clip0000071,asd3dp_s0021,anomaly,belt_tension_abnormal,2.687579393386841
near_only,313,asd3dp_s0021_clip0000098,asd3dp_s0021,anomaly,belt_tension_abnormal,2.6285667419433594
near_only,314,asd3dp_s0021_clip0000115,asd3dp_s0021,anomaly,belt_tension_abnormal,2.3603060245513916
near_only,315,asd3dp_s0021_clip0000133,asd3dp_s0021,anomaly,belt_tension_abnormal,2.5117642879486084
near_only,316,asd3dp_s0021_clip0000147,asd3dp_s0021,anomaly,belt_tension_abnormal,2.5869462490081787
near_only,317,asd3dp_s0021_clip0000158,asd3dp_s0021,anomaly,belt_tension_abnormal,2.6233487129211426
near_only,318,asd3dp_s0022_clip0000009,asd3dp_s0022,anomaly,belt_tension_abnormal,3.042233943939209
near_only,319,asd3dp_s0022_clip0000031,asd3dp_s0022,anomaly,belt_tension_abnormal,2.671389579772949
near_only,320,asd3dp_s0022_clip0000054,asd3dp_s0022,anomaly,belt_tension_abnormal,2.7102394104003906
near_only,321,asd3dp_s0022_clip0000067,asd3dp_s0022,anomaly,belt_tension_abnormal,2.283015251159668
near_only,322,asd3dp_s0022_clip0000092,asd3dp_s0022,anomaly,belt_tension_abnormal,2.7214651107788086
near_only,323,asd3dp_s0022_clip0000100,asd3dp_s0022,anomaly,belt_tension_abnormal,2.62338924407959
near_only,324,asd3dp_s0022_clip0000120,asd3dp_s0022,anomaly,belt_tension_abnormal,2.7788405418395996
near_only,325,asd3dp_s0022_clip0000149,asd3dp_s0022,anomaly,belt_tension_abnormal,2.410672187805176
near_only,326,asd3dp_s0022_clip0000159,asd3dp_s0022,anomaly,belt_tension_abnormal,2.783745050430298
near_only,327,asd3dp_s0023_clip0000019,asd3dp_s0023,anomaly,belt_tension_abnormal,3.460068941116333
near_only,328,asd3dp_s0023_clip0000033,asd3dp_s0023,anomaly,belt_tension_abnormal,3.022226095199585
near_only,329,asd3dp_s0023_clip0000054,asd3dp_s0023,anomaly,belt_tension_abnormal,2.7643887996673584
near_only,330,asd3dp_s0023_clip0000066,asd3dp_s0023,anomaly,belt_tension_abnormal,2.6744608879089355
near_only,331,asd3dp_s0023_clip0000097,asd3dp_s0023,anomaly,belt_tension_abnormal,2.404035806655884
near_only,332,asd3dp_s0023_clip0000108,asd3dp_s0023,anomaly,belt_tension_abnormal,2.661890745162964
near_only,333,asd3dp_s0023_clip0000128,asd3dp_s0023,anomaly,belt_tension_abnormal,2.676696300506592
near_only,334,asd3dp_s0023_clip0000143,asd3dp_s0023,anomaly,belt_tension_abnormal,2.55357027053833
near_only,335,asd3dp_s0023_clip0000161,asd3dp_s0023,anomaly,belt_tension_abnormal,2.795576333999634
near_only,336,asd3dp_s0024_clip0000019,asd3dp_s0024,anomaly,belt_tension_abnormal,3.3159806728363037
near_only,337,asd3dp_s0024_clip0000034,asd3dp_s0024,anomaly,belt_tension_abnormal,2.263286828994751
near_only,338,asd3dp_s0024_clip0000049,asd3dp_s0024,anomaly,belt_tension_abnormal,2.347529411315918
near_only,339,asd3dp_s0024_clip0000082,asd3dp_s0024,anomaly,belt_tension_abnormal,2.277320384979248
near_only,340,asd3dp_s0024_clip0000089,asd3dp_s0024,anomaly,belt_tension_abnormal,1.9097048044204712
near_only,341,asd3dp_s0024_clip0000122,asd3dp_s0024,anomaly,belt_tension_abnormal,2.3221137523651123
near_only,342,asd3dp_s0024_clip0000147,asd3dp_s0024,anomaly,belt_tension_abnormal,2.4598708152770996
near_only,343,asd3dp_s0024_clip0000166,asd3dp_s0024,anomaly,belt_tension_abnormal,2.9409782886505127
near_only,344,asd3dp_s0025_clip0000021,asd3dp_s0025,anomaly,belt_tension_abnormal,3.5431389808654785
near_only,345,asd3dp_s0025_clip0000041,asd3dp_s0025,anomaly,belt_tension_abnormal,2.5260725021362305
near_only,346,asd3dp_s0025_clip0000052,asd3dp_s0025,anomaly,belt_tension_abnormal,2.403369426727295
near_only,347,asd3dp_s0025_clip0000076,asd3dp_s0025,anomaly,belt_tension_abnormal,2.518122673034668
near_only,348,asd3dp_s0025_clip0000095,asd3dp_s0025,anomaly,belt_tension_abnormal,2.7002389430999756
near_only,349,asd3dp_s0025_clip0000117,asd3dp_s0025,anomaly,belt_tension_abnormal,2.159156560897827
near_only,350,asd3dp_s0025_clip0000144,asd3dp_s0025,anomaly,belt_tension_abnormal,2.5788588523864746
near_only,351,asd3dp_s0025_clip0000155,asd3dp_s0025,anomaly,belt_tension_abnormal,2.6357319355010986
near_only,352,asd3dp_s0026_clip0000020,asd3dp_s0026,anomaly,belt_tension_abnormal,3.134580135345459
near_only,353,asd3dp_s0026_clip0000052,asd3dp_s0026,anomaly,belt_tension_abnormal,3.2731950283050537
near_only,354,asd3dp_s0026_clip0000066,asd3dp_s0026,anomaly,belt_tension_abnormal,3.1954081058502197
near_only,355,asd3dp_s0026_clip0000079,asd3dp_s0026,anomaly,belt_tension_abnormal,3.124887704849243
near_only,356,asd3dp_s0026_clip0000115,asd3dp_s0026,anomaly,belt_tension_abnormal,2.7299182415008545
near_only,357,asd3dp_s0026_clip0000122,asd3dp_s0026,anomaly,belt_tension_abnormal,2.7040789127349854
near_only,358,asd3dp_s0026_clip0000140,asd3dp_s0026,anomaly,belt_tension_abnormal,2.474731922149658
near_only,359,asd3dp_s0026_clip0000173,asd3dp_s0026,anomaly,belt_tension_abnormal,3.2064056396484375
near_only,360,asd3dp_s0027_clip0000032,asd3dp_s0027,anomaly,belt_tension_abnormal,3.1875765323638916
near_only,361,asd3dp_s0027_clip0000039,asd3dp_s0027,anomaly,belt_tension_abnormal,2.9413154125213623
near_only,362,asd3dp_s0027_clip0000073,asd3dp_s0027,anomaly,belt_tension_abnormal,2.872180461883545
near_only,363,asd3dp_s0027_clip0000092,asd3dp_s0027,anomaly,belt_tension_abnormal,2.7456464767456055
