clip_uid,release_session_id,channel,condition,fault_mode,protocol_axis,speed_profile,clip_index,clip_audio_file,source_audio_file,clip_start_seconds,clip_end_seconds,clip_duration_seconds,benchmark_label,primary_phase,bed_heating_overlap_seconds,nozzle_heating_overlap_seconds,homing_overlap_seconds,printing_motion_overlap_seconds,matched_interval_ids,matched_interval_count,anomaly_overlap_seconds_max,anomaly_overlap_seconds_total,event_evidence,selection_rule,event_rule_version,split_role,sampling_seed
asd3dp_s0001_clip0000023,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000023,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000023_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,220,230,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000043,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000043,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000043_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,420,430,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000047,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000047,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000047_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,460,470,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000064,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000064,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000064_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,630,640,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000082,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000082,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000082_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,810,820,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000086,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000086,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000086_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,850,860,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000103,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000103,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000103_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1020,1030,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000113,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000113,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000113_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1120,1130,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000123,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000123,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000123_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1220,1230,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000138,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000138,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000138_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1370,1380,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000158,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000158,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000158_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1570,1580,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000170,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000170,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000170_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1690,1700,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000176,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000176,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000176_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1750,1760,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000197,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000197,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000197_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,1960,1970,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000203,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000203,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000203_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2020,2030,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000216,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000216,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000216_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2150,2160,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000230,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000230,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000230_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2290,2300,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000242,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000242,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000242_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2410,2420,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000254,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000254,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000254_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2530,2540,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000265,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000265,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000265_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2640,2650,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000286,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000286,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000286_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2850,2860,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000299,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000299,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000299_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,2980,2990,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0001_clip0000315,asd3dp_s0001,ch2,normal,none,print_slow_loaded,slow,0000315,clipped/audio_event_clean/normal/asd3dp_s0001_clip0000315_ch2_normal.wav,all/audio/files/asd3dp_s0001_ch2.wav,3140,3150,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000029,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000029,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000029_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,280,290,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000037,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000037,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000037_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,360,370,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000050,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000050,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000050_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,490,500,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000062,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000062,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000062_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,610,620,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000081,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000081,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000081_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,800,810,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000083,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000083,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000083_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,820,830,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000100,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000100,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000100_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,990,1000,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000111,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000111,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000111_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1100,1110,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000129,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000129,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000129_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1280,1290,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000135,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000135,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000135_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1340,1350,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000149,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000149,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000149_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1480,1490,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000168,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000168,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000168_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1670,1680,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
asd3dp_s0002_clip0000178,asd3dp_s0002,ch2,normal,none,print_slow_loaded,slow,0000178,clipped/audio_event_clean/normal/asd3dp_s0002_clip0000178_ch2_normal.wav,all/audio/files/asd3dp_s0002_ch2.wav,1770,1780,10,normal,printing_motion,0,0,0,10,,0,0,0,printing_motion_window,full_10s_grid_clip_contained_in_printing_motion,asd3dp_v0.4.1_locked,train_normal,13711
